municipality;Cordillera Oriental;Piedemonte Amazónico - Macizo;Transición Pacífico - Caribe;Transición Orinoquía;Cordillera Central;Pacífico - Marino Costero;Caribe;Orinoquía;Corazón Amazonía
Páramo;True;False;False;False;False;False;False;False;False
Caicedo;False;False;False;False;False;False;False;False;False
Barbosa;False;False;False;False;False;False;False;False;False
Santa Helena Del Opón;False;False;False;False;False;False;False;False;False
Calarcá;False;False;False;False;True;False;False;False;False
Soacha;False;False;False;True;False;False;False;False;False
Quimbaya;False;False;False;False;False;False;False;False;False
La Chorrera;False;False;False;False;False;False;False;False;True
Socorro;False;False;False;False;False;False;False;False;False
Onzaga;True;False;False;False;False;False;False;False;False
San Roque;False;False;False;False;False;False;False;False;False
El Espino;True;False;False;False;False;False;False;False;False
Santo Domingo;False;False;False;False;False;False;False;False;False
Vélez;False;False;False;False;False;False;False;False;False
Cisneros;False;False;False;False;False;False;False;False;False
Macaravita;True;False;False;False;False;False;False;False;False
Capitanejo;False;False;False;False;False;False;False;False;False
Urrao;False;False;False;False;False;False;False;False;False
San Miguel;True;False;False;False;False;False;False;False;False
Puerto Rondón;False;False;False;False;False;False;False;False;False
Sopetrán;False;False;False;False;False;False;False;False;False
Hato;False;False;False;False;False;False;False;False;False
Cravo Norte;False;False;False;False;False;False;False;False;False
Mogotes;True;False;False;False;False;False;False;False;False
San Gil;True;False;False;False;False;False;False;False;False
Maceo;False;False;False;False;False;False;False;False;False
Palmas Del Socorro;False;False;False;False;False;False;False;False;False
Girardota;False;False;False;False;False;False;False;False;False
El Cocuy;True;False;False;False;False;False;False;False;False
Boavita;True;False;False;False;False;False;False;False;False
Caracolí;False;False;False;False;False;False;False;False;False
Fredonia;False;False;False;False;False;False;False;False;False
Paipa;True;False;False;False;False;False;False;False;False
Nuquí;False;False;False;False;False;True;False;False;False
Cerinza;True;False;False;False;False;False;False;False;False
Santa Bárbara;True;False;False;False;False;False;False;False;False
Duitama;True;False;False;False;False;False;False;False;False
La Belleza;False;False;False;False;False;False;False;False;False
Alto Baudó (Pie De Pato);False;False;False;False;False;True;False;False;False
Puerto Triunfo;False;False;False;False;False;False;False;False;False
La Macarena;False;False;False;True;False;False;False;False;True
Hobo;False;False;False;False;False;False;False;False;False
Algeciras;False;False;False;True;False;False;False;False;False
Íquira;False;False;False;False;True;False;False;False;False
Caldono;False;False;False;False;False;False;False;False;False
Jambaló;False;False;False;False;True;False;False;False;False
Cubará;True;False;False;False;False;False;False;False;False
Saravena;True;False;False;False;False;False;False;False;False
Guaca;True;False;False;False;False;False;False;False;False
Toledo;True;False;False;False;False;False;False;False;False
Arauca;False;False;False;False;False;False;False;False;False
Piedecuesta;True;False;False;False;False;False;False;False;False
San Vicente De Chucurí;False;False;False;False;False;False;False;False;False
Floridablanca;True;False;False;False;False;False;False;False;False
Betulia;False;False;False;False;False;False;False;False;False
Dabeiba;False;False;True;False;False;False;False;False;False
Campamento;False;False;False;False;False;False;False;False;False
Girón;False;False;False;False;False;False;False;False;False
Peque;False;False;True;False;False;False;False;False;False
Briceño;False;False;False;False;False;False;False;False;False
Barrancabermeja;False;False;False;False;False;False;False;False;False
Tona;True;False;False;False;False;False;False;False;False
Bucaramanga;False;False;False;False;False;False;False;False;False
Remedios;False;False;False;False;False;False;False;False;False
Amalfi;False;False;False;False;False;False;False;False;False
Yondó (Casabe);False;False;False;False;False;False;False;False;False
Silos;True;False;False;False;False;False;False;False;False
Carmen Del Darién  (Curbaradó);False;False;False;False;False;True;False;False;False
Charta;True;False;False;False;False;False;False;False;False
Saboyá;False;False;False;False;False;False;False;False;False
Puerto Salgar;False;False;False;False;False;False;False;False;False
Santa Sofía;False;False;False;False;False;False;False;False;False
Betania;False;False;False;False;False;False;False;False;False
Tópaga;True;False;False;False;False;False;False;False;False
Gachantivá;False;False;False;False;False;False;False;False;False
Cómbita;True;False;False;False;False;False;False;False;False
Nobsa;False;False;False;False;False;False;False;False;False
Amagá;False;False;False;False;False;False;False;False;False
Sativasur;True;False;False;False;False;False;False;False;False
Santana;False;False;False;False;False;False;False;False;False
Socotá;True;False;False;False;False;False;False;False;False
Paz De Ariporo;True;False;False;False;False;False;False;False;False
Tenjo;False;False;False;False;False;False;False;False;False
Pereira;False;False;False;False;True;False;False;False;False
Chía;False;False;False;False;False;False;False;False;False
Murillo;False;False;False;False;True;False;False;False;False
Chivor;False;False;False;True;False;False;False;False;False
La Virginia;False;False;False;False;False;False;False;False;False
Bituima;False;False;False;False;False;False;False;False;False
El Rosal;False;False;False;False;False;False;False;False;False
Ambalema;False;False;False;False;True;False;False;False;False
Albán;False;False;False;False;False;False;False;False;False
Gachetá;False;False;False;True;False;False;False;False;False
Vianí;False;False;False;False;False;False;False;False;False
Lérida;False;False;False;False;True;False;False;False;False
Santa Rosa De Cabal;False;False;False;False;True;False;False;False;False
San Juan De Rioseco;False;False;False;False;False;False;False;False;False
El Guacamayo;False;False;False;False;False;False;False;False;False
Oiba;False;False;False;False;False;False;False;False;False
Guatapé;False;False;False;False;False;False;False;False;False
San Carlos;False;False;False;False;False;False;False;False;False
Quibdó;False;False;False;False;False;True;False;False;False
La Salina;True;False;False;False;False;False;False;False;False
Peñol;False;False;False;False;False;False;False;False;False
Guarne;False;False;False;False;False;False;False;False;False
La Uvita;True;False;False;False;False;False;False;False;False
Contratación;False;False;False;False;False;False;False;False;False
Coromoro;True;False;False;False;False;False;False;False;False
La Paz;False;False;False;False;False;False;True;False;False
Charalá;True;False;False;False;False;False;False;False;False
San Vicente;False;False;False;False;False;False;False;False;False
Ocamonte;True;False;False;False;False;False;False;False;False
San Rafael;False;False;False;False;False;False;False;False;False
Confines;False;False;False;False;False;False;False;False;False
Alejandría;False;False;False;False;False;False;False;False;False
Ebéjico;False;False;False;False;False;False;False;False;False
Bello;False;False;False;False;False;False;False;False;False
Tibasosa;True;False;False;False;False;False;False;False;False
La Pintada;False;False;False;False;False;False;False;False;False
Yacopí;False;False;False;False;False;False;False;False;False
Pore;True;False;False;False;False;False;False;False;False
Hispania;False;False;False;False;False;False;False;False;False
Arcabuco;True;False;False;False;False;False;False;False;False
Molagavita;True;False;False;False;False;False;False;False;False
Barichara;False;False;False;False;False;False;False;False;False
Chipatá;False;False;False;False;False;False;False;False;False
Sácama;True;False;False;False;False;False;False;False;False
Carmen De Viboral;False;False;False;False;False;False;False;False;False
Tutazá;True;False;False;False;False;False;False;False;False
Concordia;False;False;False;False;False;False;True;False;False
Sabaneta;False;False;False;False;False;False;False;False;False
San Benito;False;False;False;False;False;False;False;False;False
Sativanorte;True;False;False;False;False;False;False;False;False
Envigado;False;False;False;False;False;False;False;False;False
Angelópolis;False;False;False;False;False;False;False;False;False
Retiro;False;False;False;False;False;False;False;False;False
Suaita;True;False;False;False;False;False;False;False;False
Jericó;True;False;False;False;False;False;False;False;False
Puerto Berrío;False;False;False;False;False;False;False;False;False
Carcasí;True;False;False;False;False;False;False;False;False
Guicán;True;False;False;False;False;False;False;False;False
Cimitarra;False;False;False;False;False;False;False;False;False
Galán;False;False;False;False;False;False;False;False;False
Málaga;False;False;False;False;False;False;False;False;False
Belmira;False;False;False;False;False;False;False;False;False
Liborina;False;False;False;False;False;False;False;False;False
Bahía Solano (Mutis);False;False;False;False;False;True;False;False;False
Cepitá;False;False;False;False;False;False;False;False;False
Carolina;False;False;False;False;False;False;False;False;False
Aratoca;False;False;False;False;False;False;False;False;False
Yolombó;False;False;False;False;False;False;False;False;False
Vigia Del Fuerte;False;False;False;False;False;False;False;False;False
Gómez Plata;False;False;False;False;False;False;False;False;False
Chiscas;True;False;False;False;False;False;False;False;False
Bojayá (Bellavista);False;False;False;False;False;True;False;False;False
Fortul;True;False;False;False;False;False;False;False;False
San José De La Montaña;False;False;False;False;False;False;False;False;False
Puerto Parra;False;False;False;False;False;False;False;False;False
Los Santos;False;False;False;False;False;False;False;False;False
Simacota;False;False;False;False;False;False;False;False;False
Buriticá;False;False;False;False;False;False;False;False;False
Valencia;False;False;True;False;False;False;False;False;False
San Jacinto Del Cauca;False;False;False;False;False;False;False;False;False
Montecristo;False;False;False;False;False;False;False;False;False
González;False;False;False;False;False;False;False;False;False
Arenal;False;False;False;False;False;False;False;False;False
Gamarra;False;False;False;False;False;False;False;False;False
Ayapel;False;False;False;False;False;False;False;False;False
Aguachica;False;False;False;False;False;False;False;False;False
Guaranda;False;False;False;False;False;False;False;False;False
Hacarí;False;False;False;False;False;False;False;False;False
Cucutilla;True;False;False;False;False;False;False;False;False
Planeta Rica;False;False;False;False;False;False;False;False;False
San Pedro De Urabá;False;False;False;False;False;False;False;False;False
Norosi;False;False;False;False;False;False;False;False;False
Pueblo Nuevo;False;False;False;False;False;False;False;False;False
Tiquisio (Puerto Rico);False;False;False;False;False;False;False;False;False
Rioviejo;False;False;False;False;False;False;False;False;False
Necoclí;False;False;True;False;False;False;False;False;False
San Marcos;False;False;False;False;False;False;False;False;False
Majagual;False;False;False;False;False;False;False;False;False
San Juan De Urabá;False;False;True;False;False;False;False;False;False
La Gloria;False;False;False;False;False;False;False;False;False
Canalete;False;False;False;False;False;False;False;False;False
Cunday;False;False;False;True;False;False;False;False;False
Silvania;False;False;False;False;False;False;False;False;False
Medio Atrato (Beté);False;False;False;False;False;False;False;False;False
La Primavera;False;False;False;False;False;False;False;True;False
Rionegro;False;False;False;False;False;False;False;False;False
Aguada;False;False;False;False;False;False;False;False;False
Marinilla;False;False;False;False;False;False;False;False;False
Bolivar;False;False;False;False;False;False;False;False;False
Puerto Nare;False;False;False;False;False;False;False;False;False
Hato Corozal;True;False;False;False;False;False;False;False;False
Chita;True;False;False;False;False;False;False;False;False
Florián;False;False;False;False;False;False;False;False;False
Gámeza;True;False;False;False;False;False;False;False;False
Sotaquirá;True;False;False;False;False;False;False;False;False
Busbanzá;True;False;False;False;False;False;False;False;False
Corrales;True;False;False;False;False;False;False;False;False
Pueblorrico;False;False;False;False;False;False;False;False;False
Jesús María;False;False;False;False;False;False;False;False;False
Sonsón;False;False;False;False;False;False;False;False;False
Puente Nacional;False;False;False;False;False;False;False;False;False
Floresta;True;False;False;False;False;False;False;False;False
Ciudad Bolívar;False;False;False;False;False;False;False;False;False
Abejorral;False;False;False;False;False;False;False;False;False
Moniquirá;False;False;False;False;False;False;False;False;False
Montebello;False;False;False;False;False;False;False;False;False
Betéitiva;True;False;False;False;False;False;False;False;False
Togüí;False;False;False;False;False;False;False;False;False
Giraldo;False;False;False;False;False;False;False;False;False
Jordán;False;False;False;False;False;False;False;False;False
Abriaquí;False;False;False;False;False;False;False;False;False
Santa Lucía;False;False;False;False;False;False;False;False;False
El Copey;False;False;False;False;False;False;True;False;False
Soplaviento;False;False;False;False;False;False;False;False;False
San Cristobal;False;False;False;False;False;False;False;False;False
Turbaco;False;False;False;False;False;False;False;False;False
San Estanislao;False;False;False;False;False;False;False;False;False
El Piñón;False;False;False;False;False;False;True;False;False
Campo De La Cruz;False;False;False;False;False;False;True;False;False
Manatí;False;False;False;False;False;False;False;False;False
Regidor;False;False;False;False;False;False;False;False;False
Achí;False;False;False;False;False;False;False;False;False
Altos Del Rosario;False;False;False;False;False;False;False;False;False
Arboletes;False;False;True;False;False;False;False;False;False
Pelaya;False;False;False;False;False;False;False;False;False
Caimito;False;False;False;False;False;False;False;False;False
Los Córdobas;False;False;True;False;False;False;False;False;False
Montería;False;False;True;False;False;False;False;False;False
Barranco De Loba;False;False;False;False;False;False;False;False;False
Cereté;False;False;False;False;False;False;False;False;False
Ocaña;True;False;False;False;False;False;False;False;False
Gámbita;True;False;False;False;False;False;False;False;False
San Martin De Loba;False;False;False;False;False;False;False;False;False
Sahagún;False;False;False;False;False;False;False;False;False
Dibulla;False;False;False;False;False;False;True;False;False
Santa Marta;False;False;False;False;False;False;True;False;False
Mahates;False;False;False;False;False;False;False;False;False
Vetas;True;False;False;False;False;False;False;False;False
California;True;False;False;False;False;False;False;False;False
Ituango;False;False;True;False;False;False;False;False;False
Lebrija;False;False;False;False;False;False;False;False;False
Cantagallo;False;False;False;False;False;False;False;False;False
Valdivia;False;False;False;False;False;False;False;False;False
Anorí;False;False;False;False;False;False;False;False;False
Matanza;False;False;False;False;False;False;False;False;False
Segovia;False;False;False;False;False;False;False;False;False
Mutatá;False;False;True;False;False;False;False;False;False
Herrán;True;False;False;False;False;False;False;False;False
Pamplonita;True;False;False;False;False;False;False;False;False
El Playón;False;False;False;False;False;False;False;False;False
Ábrego;True;False;False;False;False;False;False;False;False
Salazar;True;False;False;False;False;False;False;False;False
Labateca;True;False;False;False;False;False;False;False;False
Cerrito;True;False;False;False;False;False;False;False;False
Chitagá;True;False;False;False;False;False;False;False;False
Sabana De Torres;False;False;False;False;False;False;False;False;False
Zaragoza;False;False;False;False;False;False;False;False;False
Tarazá;False;False;True;False;False;False;False;False;False
Chigorodó;False;False;True;False;False;False;False;False;False
La Esperanza;True;False;False;False;False;False;False;False;False
San Jose De Ure;False;False;True;False;False;False;False;False;False
Cáceres;False;False;False;False;False;False;False;False;False
San Alberto;True;False;False;False;False;False;False;False;False
El Bagre;False;False;False;False;False;False;False;False;False
Hatillo De Loba;False;False;False;False;False;False;False;False;False
Ciénaga De Oro;False;False;False;False;False;False;False;False;False
Tamalameque;False;False;False;False;False;False;False;False;False
Pailitas;False;False;False;False;False;False;False;False;False
San Pelayo;False;False;False;False;False;False;False;False;False
Gramalote;True;False;False;False;False;False;False;False;False
Durania;False;False;False;False;False;False;False;False;False
Cáchira;True;False;False;False;False;False;False;False;False
Pamplona;True;False;False;False;False;False;False;False;False
Chinácota;True;False;False;False;False;False;False;False;False
Mercaderes;False;False;False;False;False;False;False;False;False
Macanal;False;False;False;True;False;False;False;False;False
Magangué;False;False;False;False;False;False;False;False;False
Subachoque;False;False;False;False;False;False;False;False;False
Tenza;False;False;False;False;False;False;False;False;False
Tibirita;False;False;False;False;False;False;False;False;False
Armero (Guayabal);False;False;False;False;False;False;False;False;False
Garagoa;False;False;False;False;False;False;False;False;False
Cogua;False;False;False;False;False;False;False;False;False
Condoto;False;False;False;False;False;False;False;False;False
Apía;False;False;False;False;False;False;False;False;False
Rio Iró (Santa Rita);False;False;False;False;False;False;False;False;False
La Peña;False;False;False;False;False;False;False;False;False
Yopal;False;False;False;False;False;False;False;False;False
Ráquira;False;False;False;False;False;False;False;False;False
Muzo;False;False;False;False;False;False;False;False;False
Chivatá;False;False;False;False;False;False;False;False;False
Iza;True;False;False;False;False;False;False;False;False
Arroyohondo;False;False;False;False;False;False;False;False;False
Arjona;False;False;False;False;False;False;False;False;False
Suan;False;False;False;False;False;False;True;False;False
San Diego;False;False;False;False;False;False;True;False;False
Cerro De San Antonio;False;False;False;False;False;False;True;False;False
Algarrobo;False;False;False;False;False;False;True;False;False
Mutiscua;True;False;False;False;False;False;False;False;False
Jamundí;False;False;False;False;False;False;False;False;False
Pinillos;False;False;False;False;False;False;False;False;False
San Benito Abad;False;False;False;False;False;False;False;False;False
Puerto Escondido;False;False;False;False;False;False;False;False;False
Cotorra;False;False;False;False;False;False;False;False;False
Chinú;False;False;False;False;False;False;False;False;False
El Roble;False;False;False;False;False;False;False;False;False
Margarita;False;False;False;False;False;False;False;False;False
Galeras;False;False;False;False;False;False;False;False;False
San Fernando;False;False;False;False;False;False;False;False;False
Sampués;False;False;False;False;False;False;False;False;False
San Andrés De Sotavento;False;False;False;False;False;False;False;False;False
Mompós;False;False;False;False;False;False;False;False;False
Tuchín;False;False;False;False;False;False;False;False;False
Cicuco;False;False;False;False;False;False;False;False;False
Moñitos;False;False;False;False;False;False;False;False;False
Corozal;False;False;False;False;False;False;False;False;False
Momil;False;False;False;False;False;False;False;False;False
Purísima;False;False;False;False;False;False;False;False;False
El Banco;False;False;False;False;False;False;False;False;False
Convención;False;False;False;False;False;False;False;False;False
Teorama;False;False;False;False;False;False;False;False;False
Lourdes;True;False;False;False;False;False;False;False;False
Puerto Libertador;False;False;True;False;False;False;False;False;False
Apartadó;False;False;True;False;False;False;False;False;False
Caucasia;False;False;False;False;False;False;False;False;False
El Zulia;False;False;False;False;False;False;False;False;False
La Apartada;False;False;False;False;False;False;False;False;False
Puerto Wilches;False;False;False;False;False;False;False;False;False
Montelíbano;False;False;True;False;False;False;False;False;False
Santa Rosa Del Sur;False;False;False;False;False;False;False;False;False
Simití;False;False;False;False;False;False;False;False;False
Nechí;False;False;False;False;False;False;False;False;False
Tierralta;False;False;True;False;False;False;False;False;False
Rio De Oro;False;False;False;False;False;False;False;False;False
La Playa;True;False;False;False;False;False;False;False;False
Puerto Santander;False;False;False;False;False;False;False;False;False
Repelón;False;False;False;False;False;False;False;False;False
El Guamo;False;False;False;False;False;False;True;False;False
Zapayán;False;False;False;False;False;False;True;False;False
Tubará;False;False;False;False;False;False;True;False;False
Sitionuevo;False;False;False;False;False;False;True;False;False
Pijiño  Del Carmen;False;False;False;False;False;False;False;False;False
Santa Ana;False;False;False;False;False;False;False;False;False
Zambrano;False;False;False;False;False;False;False;False;False
El Carmen De Bolívar;False;False;False;False;False;False;False;False;False
Itagüí;False;False;False;False;False;False;False;False;False
El Paso;False;False;False;False;False;False;False;False;False
San Jacinto;False;False;False;False;False;False;False;False;False
Nueva Granada;False;False;False;False;False;False;False;False;False
Ariguaní (El Dificil);False;False;False;False;False;False;False;False;False
Tenerife;False;False;False;False;False;False;False;False;False
Plato;False;False;False;False;False;False;False;False;False
Bosconia;False;False;False;False;False;False;True;False;False
María La Baja;False;False;False;False;False;False;False;False;False
San Juan Nepomuceno;False;False;False;False;False;False;False;False;False
San Onofre;False;False;False;False;False;False;False;False;False
Chivolo;False;False;False;False;False;False;False;False;False
Pedraza;False;False;False;False;False;False;True;False;False
Juan De Acosta;False;False;False;False;False;False;False;False;False
Malambo;False;False;False;False;False;False;True;False;False
Villa Del Rosario;False;False;False;False;False;False;False;False;False
Cúcuta;False;False;False;False;False;False;False;False;False
El Encanto;False;False;False;False;False;False;False;False;False
Arauquita;False;False;False;False;False;False;False;False;False
Taraira;False;False;False;False;False;False;False;False;True
Pacoa (Cor. Departamental);False;False;False;False;False;False;False;False;True
Puerto Leguízamo;False;True;False;False;False;False;False;False;True
Puerto Asís;False;True;False;False;False;False;False;False;False
Puerto Alegría;False;False;False;False;False;False;False;False;False
Clemencia;False;False;False;False;False;False;False;False;False
Pivijay;False;False;False;False;False;False;True;False;False
Ponedera;False;False;False;False;False;False;True;False;False
Pueblo Bello;False;False;False;False;False;False;True;False;False
Palmar De Varela;False;False;False;False;False;False;True;False;False
Remolino;False;False;False;False;False;False;True;False;False
Santo Tomás;False;False;False;False;False;False;True;False;False
Piojó;False;False;False;False;False;False;False;False;False
Sabanagrande;False;False;False;False;False;False;True;False;False
Baranoa;False;False;False;False;False;False;True;False;False
Valledupar;False;False;False;False;False;False;True;False;False
Aracataca;False;False;False;False;False;False;True;False;False
Usiacurí;False;False;False;False;False;False;False;False;False
Lorica;False;False;False;False;False;False;False;False;False
Manaure;False;False;False;False;False;False;True;False;False
San Andres Y  Providencia (Santa Isabel);False;False;False;False;False;False;False;False;False
Guachucal;False;False;False;False;False;False;False;False;False
Samaniego;False;False;False;False;False;False;False;False;False
Acevedo;False;True;False;False;False;False;False;False;False
Motavita;False;False;False;False;False;False;False;False;False
Sutamarchán;False;False;False;False;False;False;False;False;False
Villa De Leiva;True;False;False;False;False;False;False;False;False
Lloró;False;False;False;False;False;False;False;False;False
Paya;True;False;False;False;False;False;False;False;False
Guayabal De Síquima;False;False;False;False;False;False;False;False;False
Sopó;False;False;False;False;False;False;False;False;False
Guatavita;False;False;False;True;False;False;False;False;False
Tabio;False;False;False;False;False;False;False;False;False
Otanche;False;False;False;False;False;False;False;False;False
Tarso;False;False;False;False;False;False;False;False;False
Tasco;True;False;False;False;False;False;False;False;False
Guavatá;False;False;False;False;False;False;False;False;False
Santa Rosa De Viterbo;True;False;False;False;False;False;False;False;False
San José De Pare;False;False;False;False;False;False;False;False;False
Carepa;False;False;True;False;False;False;False;False;False
Ovejas;False;False;False;False;False;False;False;False;False
Fundación;False;False;False;False;False;False;True;False;False
El Retén;False;False;False;False;False;False;True;False;False
Polonuevo;False;False;False;False;False;False;False;False;False
Puerto Arica;False;False;False;False;False;False;False;False;True
Soledad;False;False;False;False;False;False;True;False;False
Galapa;False;False;False;False;False;False;True;False;False
Zona Bananera;False;False;False;False;False;False;True;False;False
Puebloviejo;False;False;False;False;False;False;True;False;False
Ciénaga;False;False;False;False;False;False;True;False;False
Barranquilla;False;False;False;False;False;False;True;False;False
Coveñas;False;False;False;False;False;False;False;False;False
Turbo;False;False;True;False;False;False;False;False;False
Medellín;False;False;False;False;False;False;False;False;False
Buenaventura;False;False;False;False;False;True;False;False;False
La Estrella;False;False;False;False;False;False;False;False;False
Mitú;False;False;False;False;False;False;False;False;False
Yavaraté  (Cor. Departamental);False;False;False;False;False;False;False;False;False
Cácota;True;False;False;False;False;False;False;False;False
Luruaco;False;False;False;False;False;False;False;False;False
Bucarasica;True;False;False;False;False;False;False;False;False
Los Patios;False;False;False;False;False;False;False;False;False
Arboledas;True;False;False;False;False;False;False;False;False
Bochalema;False;False;False;False;False;False;False;False;False
Ragonvalia;False;False;False;False;False;False;False;False;False
Suratá;True;False;False;False;False;False;False;False;False
Sabanas De San Angel;False;False;False;False;False;False;False;False;False
Rondón;True;False;False;False;False;False;False;False;False
El Tarra;False;False;False;False;False;False;False;False;False
Villa Caro;True;False;False;False;False;False;False;False;False
Sardinata;False;False;False;False;False;False;False;False;False
Siachoque;True;False;False;False;False;False;False;False;False
Tibaná;False;False;False;False;False;False;False;False;False
Ramiriquí;False;False;False;False;False;False;False;False;False
Úmbita;False;False;False;False;False;False;False;False;False
Viracachá;True;False;False;False;False;False;False;False;False
Chinavita;False;False;False;False;False;False;False;False;False
Pauna;False;False;False;False;False;False;False;False;False
Tununguá;False;False;False;False;False;False;False;False;False
Cabuyaro;False;False;False;False;False;False;False;False;False
Puerto López;False;False;False;False;False;False;False;False;False
Puerto Colombia;False;False;False;False;False;False;True;False;False
Tarapacá;False;False;False;False;False;False;False;False;True
Becerrill;False;False;False;False;False;False;True;False;False
Tibú;False;False;False;False;False;False;False;False;False
Chiriguaná;False;False;False;False;False;False;False;False;False
Hato Nuevo;False;False;False;False;False;False;True;False;False
Fonseca;False;False;False;False;False;False;True;False;False
Agustín Codazzi;False;False;False;False;False;False;True;False;False
La Jagua De Ibirico;False;False;False;False;False;False;False;False;False
La Jagua Del Pilar;False;False;False;False;False;False;True;False;False
El Molino;False;False;False;False;False;False;True;False;False
Urumita;False;False;False;False;False;False;True;False;False
Manaure Balcón Del Cesar;False;False;False;False;False;False;True;False;False
Ipiales;False;False;False;False;False;False;False;False;False
Curumaní;False;False;False;False;False;False;False;False;False
Puerto Nariño;False;False;False;False;False;False;False;False;True
Uribia;False;False;False;False;False;False;False;False;False
Juradó;False;False;False;False;False;True;False;False;False
Acandí;False;False;True;False;False;False;False;False;False
Unguía;False;False;True;False;False;False;False;False;False
Barrancas;False;False;False;False;False;False;True;False;False
Distracción;False;False;False;False;False;False;True;False;False
San Juan Del Cesar;False;False;False;False;False;False;True;False;False
Riohacha;False;False;False;False;False;False;True;False;False
Maicao;False;False;False;False;False;False;True;False;False
La Guadalupe;False;False;False;False;False;False;False;False;False
Cartagena De Indias;False;False;False;False;False;False;False;False;False
Turbana;False;False;False;False;False;False;False;False;False
Santa Catalina;False;False;False;False;False;False;False;False;False
Tumaco;False;False;False;False;False;True;False;False;False
Leticia;False;False;False;False;False;False;False;False;True
